slug,nu,cand,basis,gamma_form,solver,entry_age_label,entry_age,peak_an,peak_age,peak_depth,peak_pct,improve_span_yr,breakeven_an,tail_value,plateau_p05_yr,plateau_p10_yr,plateau_p25_yr,tail_an_cut,tail_sign_changes,tail_nonmonotone
ALL_B_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,mean,39.73995625575335,3.1723298215925624,42.91228607734591,-0.010122019657441163,-0.010070964422370068,6.344659643185125,6.345565232825577,0.06283111870889443,1.4686712137002602,2.056139699180364,3.1723298215925624,7.972621492128679,0.0,0.0
ALL_B_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,p10,27.0,3.1723298215925624,30.172329821592562,-0.010122019657441163,-0.010070964422370068,6.344659643185125,6.345565232825577,0.06283111870889443,1.4686712137002602,2.056139699180364,3.1723298215925624,7.972621492128679,0.0,0.0
ALL_B_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,p50,41.5,3.1723298215925624,44.67232982159256,-0.010122019657441163,-0.010070964422370068,6.344659643185125,6.345565232825577,0.06283111870889443,1.4686712137002602,2.056139699180364,3.1723298215925624,7.972621492128679,0.0,0.0
ALL_B_14-25_mrc2,inf,poly2-goff,poly2,off,anderson,p90,55.5,3.1723298215925624,58.67232982159256,-0.010122019657441163,-0.010070964422370068,6.344659643185125,6.345565232825577,0.06283111870889443,1.4686712137002602,2.056139699180364,3.1723298215925624,7.972621492128679,0.0,0.0
ALL_B_14-25_mrc2,8,poly2-goff,poly2,off,anderson,mean,39.73995625575335,3.1723298215925624,42.91228607734591,-0.01033411797078328,-0.010280904436396007,6.344659643185125,6.39297034520328,0.06264073534637254,1.40992436515225,1.997392850632354,3.1723298215925624,7.972621492128679,0.0,0.0
ALL_B_14-25_mrc2,8,poly2-goff,poly2,off,anderson,p10,27.0,3.1723298215925624,30.172329821592562,-0.01033411797078328,-0.010280904436396007,6.344659643185125,6.39297034520328,0.06264073534637254,1.40992436515225,1.997392850632354,3.1723298215925624,7.972621492128679,0.0,0.0
ALL_B_14-25_mrc2,8,poly2-goff,poly2,off,anderson,p50,41.5,3.1723298215925624,44.67232982159256,-0.01033411797078328,-0.010280904436396007,6.344659643185125,6.39297034520328,0.06264073534637254,1.40992436515225,1.997392850632354,3.1723298215925624,7.972621492128679,0.0,0.0
ALL_B_14-25_mrc2,8,poly2-goff,poly2,off,anderson,p90,55.5,3.1723298215925624,58.67232982159256,-0.01033411797078328,-0.010280904436396007,6.344659643185125,6.39297034520328,0.06264073534637254,1.40992436515225,1.997392850632354,3.1723298215925624,7.972621492128679,0.0,0.0
ALL_B_14-25_mrc2,inf,poly2-gscalar,poly2,scalar,anderson,mean,39.73995625575335,3.289823518688583,43.029779774441934,-0.01074984463837072,-0.010692271543779297,6.579647037377166,6.598860520002807,0.05877718916141549,1.4686712137002602,2.056139699180364,3.289823518688583,7.972621492128679,0.0,0.0
ALL_B_14-25_mrc2,inf,poly2-gscalar,poly2,scalar,anderson,p10,27.0,3.994785701264708,30.994785701264707,-0.01586273756729902,-0.01573758696329307,7.989571402529416,8.01602841102379,0.0424177204507428,1.8211523049883227,2.5261144875644477,3.994785701264708,7.972621492128679,0.0,0.0
